MONTH;OPTIONS;CHART;LAST;CHANGE;PRIOR;OPEN;HIGH;LOW;VOLUME;UPDATED;;
GEX1;OPT;;99.8475;UNCH (UNCH);99.8475;99.845;99.8475;99.8425;7,617;05 Nov 2021;; 
GEZ1;OPT;;99.805;-0.005(-0.01%);99.81;99.805;99.81;99.80;39,994;05 Nov 2021;;
GEF2;OPT;;99.825;UNCH (UNCH);99.825;99.825;99.825;99.82;1,176;05 Nov 2021;;
GEG2;OPT;;99.81;-0.005(-0.01%);99.815;99.81;99.81;99.81;120;05 Nov 2021;;
GEH2;OPT;;99.775;-0.005(-0.01%);99.78;99.78;99.78;99.765;55,3;05 Nov 2021;;
GEJ2;OPT;;99.725;-0.005(-0.01%);99.73;99.725;99.725;99.725;76;05 Nov 2021;;
GEK2;OPT;;-;-;0.00;-;-;-;0;04 Nov 2021;;
GEM2;OPT;;99.61;-0.015(-0.02%);99.625;99.62;99.625;99.60;68,156;05 Nov 2021;;
GEU2;OPT;;99.42;-0.02 (-0.02%);99.44;99.425;99.44;99.405;70,719;05 Nov 2021;;
GEZ2;OPT;;99.20;-0.02 (-0.02%);99.22;99.20;99.22;99.18;128,417;05 Nov 2021;;
GEH3;OPT;;99.025;-0.025(-0.03%);99.05;99.035;99.045;98.995;70,592;05 Nov 2021;;
GEM3;OPT;;98.84;-0.03 (-0.03%);98.87;98.85;98.86;98.805;74,171;05 Nov 2021;;
GEU3;OPT;;98.675;-0.02 (-0.02%);98.695;98.685;98.69;98.635;78,572;05 Nov 2021;;
GEZ3;OPT;;98.675;-0.02 (-0.02%);98.695;98.685;98.69;98.635;78,572;05 Nov 2021;;
GEH4;OPT;;98.525;-0.015(-0.02%);98.54;98.525;98.535;98.48;55,053;05 Nov 2021;;
GEM4;OPT;;98.465;-0.01 (-0.01%);98.475;98.465;98.47;98.42;38,542;05 Nov 2021;;
GEU4;OPT;;98.405;-0.005(-0.01%);98.41;98.395;98.405;98.36;37,397;05 Nov 2021;;
GEZ4;OPT;;98.35;-0.005(-0.01%);98.355;98.345;98.36;98.305;69,285;05 Nov 2021;;
GEH5;OPT;;98.33;UNCH (UNCH);98.33;98.31;98.335;98.29;17,707;05 Nov 2021;;
GEM5;OPT;;98.315;+0.005(+0.01%);98.31;98.295;98.32;98.275;11,935;05 Nov 2021;;
GEU5;OPT;;98.295;+0.015(+0.02%);98.28;98.27;98.295;98.25;10,719;05 Nov 2021;;
GEZ5;OPT;;98.24;+0.005(+0.01%);98.235;98.225;98.245;98.205;11,325;05 Nov 2021;;
GEH6;OPT;;98.225;+0.02 (+0.02%);98.205;98.195;98.225;98.18;5,014;05 Nov 2021;;
GEM6;OPT;;98.19;+0.02 (+0.02%);98.17;98.16;98.19;98.14;5,048;05 Nov 2021;;
GEU6;OPT;;98.16;+0.025(+0.03%);98.135;98.13;98.16;98.11;8,073;05 Nov 2021;;
GEZ6;OPT;;98.095;+0.005(+0.01%);98.09;98.08;98.10;98.07;292;05 Nov 2021;;
GEH7;OPT;;98.07;+0.01 (+0.01%);98.06;98.055;98.07;98.055;176;05 Nov 2021;;
GEM7;OPT;;98.035;+0.015(+0.02%);98.02;98.01;98.035;98.00;269;05 Nov 2021;;
GEU7;OPT;;97.995;+0.005(+0.01%);97.99;97.96;97.995;97.96;52;05 Nov 2021;;
GEZ7;OPT;;-;-;97.955;-;-;-;0;04 Nov 2021;;
GEH8;OPT;;-;-;97.945;-;-;-;0;04 Nov 2021;;
GEM8;OPT;;-;-;97.925;-;-;-;0;04 Nov 2021;;
GEU8;OPT;;-;-;97.90;-;-;-;0;04 Nov 2021;;
GEZ8;OPT;;-;-;97.87;-;-;-;0;04 Nov 2021;;
GEH9;OPT;;-;-;97.855;-;-;-;0;04 Nov 2021;;
GEM9;OPT;;-;-;97.84;-;-;-;0;04 Nov 2021;;
GEU9;OPT;;-;-;97.825;-;-;-;0;04 Nov 2021;;
GEZ9;OPT;;-;-;97.80;-;-;-;0;04 Nov 2021;;
